,Buy,Sell,Hols,Firsts,Fridays
144,2000-11-30,2000-12-03,0,1,0
145,2001-01-31,2001-02-03,0,1,0
146,2001-02-28,2001-03-03,0,1,0
147,2001-03-31,2001-04-03,0,1,0
148,2001-05-31,2001-06-03,0,1,0
149,2001-06-30,2001-07-03,0,1,0
150,2001-07-31,2001-08-03,0,1,0
151,2001-08-31,2001-09-03,0,1,1
152,2001-09-30,2001-10-03,0,1,0
153,2001-10-31,2001-11-03,0,1,0
154,2001-11-30,2001-12-03,0,1,1
155,2002-01-31,2002-02-03,0,1,0
156,2002-02-28,2002-03-03,0,1,0
157,2002-05-31,2002-06-03,0,1,1
158,2002-06-30,2002-07-03,0,1,0
159,2002-07-31,2002-08-03,0,1,0
160,2002-08-31,2002-09-03,0,1,0
161,2002-09-30,2002-10-03,0,1,0
162,2002-10-31,2002-11-03,0,1,0
163,2002-11-30,2002-12-03,0,1,0
164,2003-01-31,2003-02-03,0,1,1
165,2003-02-28,2003-03-03,0,1,1
166,2003-03-31,2003-04-03,0,1,0
167,2003-05-31,2003-06-03,0,1,0
168,2003-06-30,2003-07-03,0,1,0
169,2003-07-31,2003-08-03,0,1,0
170,2003-08-31,2003-09-03,0,1,0
171,2003-09-30,2003-10-03,0,1,0
172,2003-10-31,2003-11-03,0,1,1
173,2003-11-30,2003-12-03,0,1,0
174,2004-01-31,2004-02-03,0,1,0
175,2004-02-29,2004-03-03,0,1,0
176,2004-03-31,2004-04-03,0,1,0
177,2004-04-30,2004-05-03,0,1,1
178,2004-05-31,2004-06-03,0,1,0
179,2004-06-30,2004-07-03,0,1,0
180,2004-07-31,2004-08-03,0,1,0
181,2004-08-31,2004-09-03,0,1,0
182,2004-09-30,2004-10-03,0,1,0
183,2004-10-31,2004-11-03,0,1,0
184,2004-11-30,2004-12-03,0,1,0
185,2004-12-31,2005-01-03,0,1,1
186,2005-01-31,2005-02-03,0,1,0
187,2005-02-28,2005-03-03,0,1,0
188,2005-03-31,2005-04-03,0,1,0
